#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
310.613272,256,2046.562318
243.894311,329,2050.049047
-504.143686,94,2051.153533
269.699888,617,2058.114944
-250.170894,115,2059.214228
78.600646,141,2060.532001
273.154703,270,2063.291637
264.011229,249,2066.236935
277.80682,298,2069.699453
62.757293,151,2071.415166
51.757992,139,2072.978875
31.066129,103,2073.992695
85.75676,171,2075.761945
252.328104,232,2078.586853
78.965984,179,2080.649688
-375.693647,104,2081.772
9.81263,110,2083.028891
38.253077,140,2084.676317
56.109029,207,2087.013817
32.797083,143,2088.53809
301.738544,269,2091.564406
266.733142,227,2094.21535
-400.210911,101,2095.412724
41.616358,152,2097.247355
258.840422,410,2101.41846
276.861302,218,2103.452291
231.000138,201,2105.468224
15.369173,164,2107.441584
227.326026,217,2109.992195
272.964581,152,2111.816284
-65.267343,221,2113.993028
241.610199,191,2115.820879
289.746644,286,2118.822752
265.361968,203,2121.067783
263.891833,268,2123.987299
278.780331,228,2126.322037
240.040449,245,2129.225739
270.972524,174,2131.345467
243.858253,260,2134.401602
259.338935,411,2138.761572
68.750778,127,2140.100496
242.278521,184,2142.197247
243.643478,183,2144.359443
291.947395,154,2145.98
297.70925,213,2148.65951
270.940006,140,2150.342951
261.785729,164,2152.23476
270.029485,181,2154.186271
257.957482,174,2156.099136
260.065473,200,2158.542102
285.446886,214,2161.021575
296.476701,250,2163.880161
220.404555,383,2167.93975
254.921421,166,2169.950669
247.801158,158,2171.955153
295.120395,224,2174.718459
274.06464,241,2177.440001
270.167689,219,2180.060138
303.516595,142,2181.781359
-46.002399,841,2190.75212
282.53467,149,2192.516186
266.850899,245,2195.167876
264.078057,161,2196.948773
281.162486,271,2200.13435
214.05141,471,2205.516353
204.532118,411,2210.590459
264.412239,450,2215.12862
277.956355,398,2219.234771
256.269004,190,2221.434473
254.839605,175,2223.376718
259.209501,276,2226.419597
267.500346,171,2228.320821
213.835137,519,2233.946552
262.486974,165,2235.780228
257.5939,255,2238.626732
279.673045,175,2240.639927
287.919034,143,2242.292798
244.091716,371,2246.641886
265.078053,188,2248.487435
35.98611,179,2250.270145
10.314268,109,2251.394332
249.685263,213,2253.914398
259.096977,214,2256.655529
281.004196,222,2259.486984
268.159285,201,2261.643083
280.073663,216,2264.142933
257.875177,198,2266.136542
270.022807,199,2268.456052
267.731656,232,2271.23668
-56.984431,198,2273.549323
257.856792,239,2276.151075
286.77629,207,2278.455129
306.059841,196,2280.632463
265.410527,353,2284.871303
256.139236,199,2287.385924
251.485073,198,2289.485226
282.647103,201,2291.54579
254.346388,425,2296.205725
255.608864,160,2298.194752
244.942629,169,2300.22384
265.716119,170,2302.2667
255.141896,387,2307.107112
275.422337,239,2310.055295
265.452745,162,2312.066441
258.36829,182,2314.296371
288.019257,154,2316.168467
295.140867,218,2318.847909
249.63808,147,2320.544558
257.840056,163,2322.487614
278.240687,194,2324.830198
296.39106,252,2327.748622
262.607796,150,2329.479609
-59.339974,346,2333.483739
295.920123,169,2335.580193
273.569038,206,2338.130728
276.844744,159,2339.960261
-304.305818,668,2347.082622
297.490784,180,2349.08804
309.689333,216,2351.577986
285.702585,212,2354.1113
